Date,Open,High,Low,Close,Adj Close,Volume,sid
1986-07-09,10.6875,11.0625,10.5625,11.0,7.419448375701904,1116800,19
1986-07-10,11.0625,11.125,10.6875,10.9375,7.37729024887085,595600,19
1986-07-11,10.875,10.9375,10.5625,10.5625,7.124357223510742,800400,19
1986-07-14,10.625,10.625,10.125,10.25,6.913575649261475,738000,19
1986-07-15,10.1875,10.1875,9.3125,9.9375,6.7027974128723145,2059200,19
1986-07-16,9.9375,10.5,9.9375,10.125,6.829265594482422,1160400,19
1986-07-17,10.125,10.25,10.0,10.1875,6.871420860290527,1046000,19
1986-07-18,10.1875,10.34375,10.0,10.25,6.913575649261475,1420000,19
1986-07-21,10.25,10.3125,10.1875,10.25,6.913575649261475,322800,19
1986-07-22,10.25,10.28125,10.1875,10.1875,6.871420860290527,390800,19
1986-07-23,10.25,10.25,10.0,10.0625,6.787106037139893,1004000,19
1986-07-24,10.0625,10.125,9.8125,9.9375,6.7027974128723145,1071600,19
1986-07-25,9.9375,10.125,9.875,10.0625,6.787106037139893,688400,19
1986-07-28,10.0625,10.25,9.96875,10.125,6.829265594482422,414800,19
1986-07-29,10.0,10.1875,10.0,10.1875,6.871420860290527,278400,19
1986-07-30,10.0625,10.125,9.875,10.125,6.829265594482422,459200,19
1986-07-31,10.125,10.25,10.0,10.0625,6.787106037139893,1213600,19
1986-08-01,10.0,10.125,9.75,9.75,6.576329231262207,1118000,19
1986-08-04,9.8125,9.8125,9.53125,9.75,6.576329231262207,892400,19
1986-08-05,9.75,9.75,9.5,9.5625,6.449859142303467,868800,19
1986-08-06,9.5625,9.625,9.125,9.125,6.154768943786621,550400,19
1986-08-07,9.0,9.0625,8.125,8.375,5.648897647857666,7560000,19
1986-08-08,8.4375,8.9375,8.375,8.875,5.986147403717041,2802000,19
1986-08-11,9.0,9.125,8.875,9.125,6.154768943786621,1428000,19
1986-08-12,9.125,9.4375,9.125,9.375,6.323391914367676,1155200,19
1986-08-13,9.4375,10.09375,9.375,9.6875,6.534171581268311,865600,19
1986-08-14,9.75,9.8125,9.375,9.5,6.407703876495361,762000,19
1986-08-15,9.5,9.5,9.1875,9.375,6.323391914367676,654400,19
1986-08-18,9.4375,9.875,9.25,9.6875,6.534171581268311,606800,19
1986-08-19,9.75,9.75,9.5,9.5625,6.449859142303467,2744000,19
1986-08-20,9.5625,9.5625,9.375,9.5,6.407703876495361,500000,19
1986-08-21,9.5,9.5625,9.4375,9.4375,6.365549564361572,353200,19
1986-08-22,9.5,9.5625,9.375,9.375,6.323391914367676,286000,19
1986-08-25,9.5,9.5,9.125,9.25,6.239082336425781,766400,19
1986-08-26,9.1875,9.375,9.1875,9.375,6.323391914367676,408800,19
1986-08-27,9.375,9.375,9.1875,9.3125,6.28123664855957,686400,19
1986-08-28,9.3125,9.3125,9.125,9.1875,6.196921825408936,286000,19
1986-08-29,9.125,9.25,9.0625,9.125,6.154768943786621,1128800,19
1986-09-02,9.1875,9.1875,8.6875,8.75,5.9018330574035645,916800,19
1986-09-03,8.75,8.9375,8.6875,8.9375,6.028298377990723,684400,19
1986-09-04,9.0,9.3125,8.875,9.3125,6.28123664855957,576800,19
1986-09-05,9.3125,9.4375,9.0,9.0,6.070457458496094,961600,19
1986-09-08,9.125,9.125,8.625,8.75,5.9018330574035645,1793200,19
1986-09-09,8.6875,8.75,8.5,8.625,5.817522048950195,388000,19
1986-09-10,8.625,8.625,8.5,8.5,5.733209609985352,802400,19
1986-09-11,8.5625,8.5625,7.75,7.9375,5.353806018829346,6240000,19
1986-09-12,7.875,7.9375,7.5625,7.625,5.1430253982543945,2066800,19
1986-09-15,7.625,7.75,7.4375,7.625,5.1430253982543945,1746800,19
1986-09-16,7.5625,7.625,7.3125,7.4375,5.016559600830078,1547200,19
1986-09-17,7.5,7.5,7.0625,7.375,4.974400997161865,997600,19
1986-09-18,7.375,8.75,7.375,8.75,5.9018330574035645,833200,19
1986-09-19,8.75,8.75,8.1875,8.5625,5.775364398956299,928000,19
1986-09-22,8.5625,8.6875,8.375,8.5,5.733209609985352,464000,19
1986-09-23,8.5625,8.5625,8.0625,8.25,5.564586639404297,436400,19
1986-09-24,8.25,8.5625,8.125,8.5,5.733209609985352,649600,19
1986-09-25,8.5,8.5,8.3125,8.3125,5.606740951538086,305600,19
1986-09-26,8.3125,8.4375,8.25,8.3125,5.606740951538086,278400,19
1986-09-29,8.375,8.375,8.0625,8.25,5.564586639404297,724800,19
1986-09-30,8.1875,8.75,8.1875,8.5625,5.775364398956299,773200,19
1986-10-01,8.6875,8.75,8.5625,8.5625,5.775364398956299,668400,19
1986-10-02,8.5625,8.625,8.5625,8.5625,5.775364398956299,592000,19
1986-10-03,8.625,8.625,8.25,8.375,5.648897647857666,228000,19
1986-10-06,8.5,8.5,8.3125,8.4375,5.6910552978515625,467600,19
1986-10-07,8.375,8.5,8.375,8.4375,5.6910552978515625,176000,19
1986-10-08,8.5,8.625,8.4375,8.625,5.817522048950195,558800,19
1986-10-09,8.625,8.625,8.375,8.4375,5.6910552978515625,243200,19
1986-10-10,8.4375,8.4375,8.25,8.3125,5.606740951538086,238400,19
1986-10-13,8.375,8.375,8.0625,8.0625,5.438117980957031,362800,19
1986-10-14,8.0625,8.625,8.0625,8.5,5.733209609985352,612000,19
1986-10-15,8.5625,8.8125,8.5,8.75,5.9018330574035645,606800,19
1986-10-16,8.75,8.8125,8.6875,8.6875,5.859679698944092,269200,19
1986-10-17,8.75,8.75,8.4375,8.5,5.733209609985352,216000,19
1986-10-20,8.4375,8.5,8.0625,8.3125,5.606740951538086,595200,19
1986-10-21,8.3125,8.3125,8.1875,8.1875,5.522430419921875,327200,19
1986-10-22,8.3125,8.3125,8.1875,8.25,5.564586639404297,396000,19
1986-10-23,8.3125,8.3125,8.25,8.28125,5.585665702819824,1358400,19
1986-10-24,8.3125,8.375,8.25,8.3125,5.606740951538086,809600,19
1986-10-27,8.375,8.375,8.25,8.3125,5.606740951538086,305200,19
1986-10-28,8.25,8.5,8.25,8.5,5.733209609985352,329200,19
1986-10-29,8.5,9.0,8.5,8.875,5.986147403717041,835600,19
1986-10-30,8.875,9.1875,8.8125,9.0625,6.112614154815674,973200,19
1986-10-31,9.0625,9.0625,8.875,9.0,6.070457458496094,632400,19
1986-11-03,8.875,9.0625,8.875,9.0,6.070457458496094,408800,19
1986-11-04,8.9375,9.0625,8.9375,8.9375,6.028298377990723,283200,19
1986-11-05,9.0,9.0,8.875,8.875,5.986147403717041,231200,19
1986-11-06,8.875,8.9375,8.5625,8.8125,5.943987846374512,434000,19
1986-11-07,8.8125,8.9375,8.75,8.78125,5.922911643981934,517200,19
1986-11-10,8.8125,8.8125,8.625,8.75,5.9018330574035645,503200,19
1986-11-11,8.8125,8.9375,8.6875,8.9375,6.028298377990723,142000,19
