Date,Open,High,Low,Close,Adj Close,Volume
1978-10-31,0.0,1.375,1.125,1.125,0.9031477570533752,13600
1978-11-01,0.0,1.4375,1.1875,1.1875,0.9533225297927856,27600
1978-11-02,0.0,1.5625,1.3125,1.3125,1.053671956062317,23000
1978-11-03,0.0,1.5625,1.3125,1.3125,1.053671956062317,7400
1978-11-06,0.0,1.8125,1.5625,1.5625,1.2543717622756958,10800
1978-11-07,0.0,1.75,1.5,1.5,1.2041970491409302,1800
1978-11-08,0.0,1.8125,1.5625,1.5625,1.2543717622756958,800
1978-11-09,0.0,1.8125,1.5625,1.5625,1.2543717622756958,5000
1978-11-10,0.0,1.8125,1.5625,1.5625,1.2543717622756958,2000
1978-11-13,0.0,1.75,1.5,1.5,1.2041970491409302,10000
1978-11-14,0.0,1.625,1.375,1.375,1.1038469076156616,1800
1978-11-15,0.0,1.4375,1.1875,1.1875,0.9533225297927856,16000
1978-11-16,0.0,1.4375,1.1875,1.1875,0.9533225297927856,8400
1978-11-17,0.0,1.375,1.125,1.125,0.9031477570533752,15600
1978-11-20,0.0,1.5625,1.3125,1.3125,1.053671956062317,64200
1978-11-21,0.0,1.4375,1.1875,1.1875,0.9533225297927856,15400
1978-11-22,0.0,1.4375,1.1875,1.1875,0.9533225297927856,3800
1978-11-24,0.0,1.375,1.125,1.125,0.9031477570533752,2400
1978-11-27,0.0,1.375,1.125,1.125,0.9031477570533752,1000
1978-11-28,0.0,1.375,1.125,1.125,0.9031477570533752,4600
1978-11-29,0.0,1.3125,1.0625,1.0625,0.852972686290741,12600
1978-11-30,0.0,1.3125,1.0625,1.0625,0.852972686290741,5600
1978-12-01,0.0,1.3125,1.0625,1.0625,0.852972686290741,3800
1978-12-04,0.0,1.3125,1.0625,1.0625,0.852972686290741,3000
1978-12-05,0.0,1.3125,1.0625,1.0625,0.852972686290741,3000
1978-12-06,0.0,1.25,1.0,1.0,0.8027977347373962,20000
1978-12-07,0.0,1.25,1.0,1.0,0.8027977347373962,7200
1978-12-08,0.0,1.25,1.0,1.0,0.8027977347373962,3200
1978-12-11,0.0,1.25,1.0,1.0,0.8027977347373962,600
1978-12-12,0.0,1.25,1.0,1.0,0.8027977347373962,5800
1978-12-13,0.0,1.1875,0.9375,0.9375,0.7526230216026306,43200
1978-12-14,0.0,1.125,0.875,0.875,0.7024481892585754,22600
1978-12-15,0.0,1.0,0.75,0.75,0.6020985245704651,39600
1978-12-18,0.0,0.9375,0.6875,0.6875,0.5519234538078308,17600
1978-12-19,0.0,1.0,0.75,0.75,0.6020985245704651,8000
1978-12-20,0.75,0.75,0.75,0.75,0.6020985245704651,0
1978-12-21,0.0,1.0625,0.8125,0.8125,0.6522732377052307,8800
1978-12-22,0.0,1.25,1.0,1.0,0.8027977347373962,7800
1978-12-26,0.0,1.25,1.0,1.0,0.8027977347373962,5200
1978-12-27,0.0,1.1875,0.9375,0.9375,0.7526230216026306,7400
1978-12-28,0.0,1.1875,0.9375,0.9375,0.7526230216026306,2400
1978-12-29,0.0,1.1875,0.9375,0.9375,0.7526230216026306,10200
1979-01-02,0.0,1.1875,0.9375,0.9375,0.7526230216026306,2600
1979-01-03,0.0,1.1875,0.9375,0.9375,0.7526230216026306,2800
1979-01-04,0.0,1.25,1.0,1.0,0.8027977347373962,11400
1979-01-05,0.0,1.1875,0.9375,0.9375,0.7526230216026306,7800
1979-01-08,0.0,1.1875,0.9375,0.9375,0.7526230216026306,30200
1979-01-09,0.0,1.1875,0.9375,0.9375,0.7526230216026306,16400
1979-01-10,0.0,1.1875,0.9375,0.9375,0.7526230216026306,13600
1979-01-11,0.0,1.1875,0.9375,0.9375,0.7526230216026306,23200
1979-01-12,0.0,1.375,1.125,1.125,0.9031477570533752,43400
1979-01-15,0.0,1.375,1.125,1.125,0.9031477570533752,12600
1979-01-16,0.0,1.3125,1.0625,1.0625,0.852972686290741,14200
1979-01-17,0.0,1.25,1.0,1.0,0.8027977347373962,6000
1979-01-18,0.0,1.25,1.0,1.0,0.8027977347373962,3000
1979-01-19,0.0,1.3125,1.0625,1.0625,0.852972686290741,13800
1979-01-22,0.0,1.375,1.125,1.125,0.9031477570533752,13600
1979-01-23,0.0,1.5,1.25,1.25,1.0034973621368408,24000
1979-01-24,0.0,1.625,1.375,1.375,1.1038469076156616,52800
1979-01-25,0.0,1.8125,1.5625,1.5625,1.2543717622756958,24000
1979-01-26,0.0,1.6875,1.4375,1.4375,1.154021978378296,53800
1979-01-29,0.0,1.75,1.5,1.5,1.2041970491409302,41000
1979-01-30,0.0,1.6875,1.4375,1.4375,1.154021978378296,18400
1979-01-31,0.0,1.6875,1.4375,1.4375,1.154021978378296,12800
1979-02-01,0.0,1.6875,1.4375,1.4375,1.154021978378296,15400
1979-02-02,0.0,1.6875,1.4375,1.4375,1.154021978378296,35400
1979-02-05,0.0,1.5625,1.3125,1.3125,1.053671956062317,51000
1979-02-06,0.0,1.625,1.375,1.375,1.1038469076156616,6600
1979-02-07,0.0,1.625,1.375,1.375,1.1038469076156616,11800
1979-02-08,0.0,1.625,1.375,1.375,1.1038469076156616,7800
1979-02-09,0.0,1.625,1.375,1.375,1.1038469076156616,19200
1979-02-12,0.0,1.625,1.375,1.375,1.1038469076156616,2200
1979-02-13,0.0,1.5625,1.3125,1.3125,1.053671956062317,12800
1979-02-14,0.0,1.5625,1.3125,1.3125,1.053671956062317,5200
1979-02-15,0.0,1.5625,1.3125,1.3125,1.053671956062317,80000
1979-02-16,0.0,1.5625,1.3125,1.3125,1.053671956062317,33600
1979-02-20,0.0,1.5,1.25,1.25,1.0034973621368408,14200
1979-02-21,0.0,1.5,1.25,1.25,1.0034973621368408,34600
1979-02-22,0.0,1.4375,1.1875,1.1875,0.9533225297927856,19600
1979-02-23,0.0,1.5,1.25,1.25,1.0034973621368408,21600
1979-02-26,0.0,1.4375,1.1875,1.1875,0.9533225297927856,17800
1979-02-27,0.0,1.375,1.125,1.125,0.9031477570533752,14000
1979-02-28,0.0,1.375,1.125,1.125,0.9031477570533752,3600
1979-03-01,0.0,1.3125,1.0625,1.0625,0.852972686290741,16000
1979-03-02,0.0,1.5,1.25,1.25,1.0034973621368408,62400
1979-03-05,0.0,1.5,1.25,1.25,1.0034973621368408,31600
1979-03-06,0.0,1.4375,1.1875,1.1875,0.9533225297927856,12000
1979-03-07,0.0,1.375,1.125,1.125,0.9031477570533752,17600
1979-03-08,0.0,1.375,1.125,1.125,0.9031477570533752,10000
1979-03-09,0.0,1.375,1.125,1.125,0.9031477570533752,12200
1979-03-12,0.0,1.4375,1.1875,1.1875,0.9533225297927856,14200
1979-03-13,0.0,1.375,1.125,1.125,0.9031477570533752,15200
1979-03-14,0.0,1.375,1.125,1.125,0.9031477570533752,7800
1979-03-15,0.0,1.3125,1.0625,1.0625,0.852972686290741,10000
1979-03-16,0.0,1.3125,1.0625,1.0625,0.852972686290741,7600
1979-03-19,0.0,1.3125,1.0625,1.0625,0.852972686290741,9200
1979-03-20,0.0,1.375,1.125,1.125,0.9031477570533752,8200
1979-03-21,0.0,1.5,1.25,1.25,1.0034973621368408,22600
1979-03-22,0.0,1.5,1.25,1.25,1.0034973621368408,36400
1979-03-23,0.0,1.625,1.375,1.375,1.1038469076156616,58800
1979-03-26,0.0,1.8125,1.5625,1.5625,1.2543717622756958,29400
1979-03-27,0.0,2.0,1.75,1.75,1.4048963785171509,67400
1979-03-28,0.0,1.75,1.5,1.5,1.2041970491409302,31800
1979-03-29,0.0,1.875,1.625,1.625,1.3045464754104614,27600
1979-03-30,0.0,1.9375,1.6875,1.6875,1.3547213077545166,12400
1979-04-02,0.0,1.875,1.625,1.625,1.3045464754104614,27000
1979-04-03,0.0,1.9375,1.6875,1.6875,1.3547213077545166,21200
1979-04-04,0.0,2.0,1.75,1.75,1.4048963785171509,14600
1979-04-05,0.0,1.875,1.625,1.625,1.3045464754104614,10000
1979-04-06,0.0,1.9375,1.6875,1.6875,1.3547213077545166,8000
1979-04-09,0.0,1.875,1.625,1.625,1.3045464754104614,9000
1979-04-10,0.0,1.875,1.625,1.625,1.3045464754104614,16600
1979-04-11,0.0,1.8125,1.5625,1.5625,1.2543717622756958,21600
1979-04-12,0.0,1.75,1.5,1.5,1.2041970491409302,12400
1979-04-16,0.0,1.6875,1.4375,1.4375,1.154021978378296,15200
1979-04-17,0.0,1.625,1.375,1.375,1.1038469076156616,19400
1979-04-18,0.0,1.625,1.375,1.375,1.1038469076156616,4800
1979-04-19,0.0,1.6875,1.4375,1.4375,1.154021978378296,9000
1979-04-20,0.0,1.75,1.5,1.5,1.2041970491409302,5600
1979-04-23,0.0,1.75,1.5,1.5,1.2041970491409302,27200
1979-04-24,0.0,1.75,1.5,1.5,1.2041970491409302,47200
1979-04-25,0.0,1.8125,1.5625,1.5625,1.2543717622756958,8800
1979-04-26,0.0,1.8125,1.5625,1.5625,1.2543717622756958,8600
1979-04-27,0.0,1.8125,1.5625,1.5625,1.2543717622756958,10800
1979-04-30,0.0,1.8125,1.5625,1.5625,1.2543717622756958,8800
1979-05-01,0.0,1.75,1.5,1.5,1.2041970491409302,6000
1979-05-02,0.0,1.75,1.5,1.5,1.2041970491409302,6600
1979-05-03,0.0,1.75,1.5,1.5,1.2041970491409302,11600
1979-05-04,0.0,1.75,1.5,1.5,1.2041970491409302,19200
1979-05-07,0.0,1.6875,1.4375,1.4375,1.154021978378296,9800
1979-05-08,0.0,1.6875,1.4375,1.4375,1.154021978378296,8200
1979-05-09,0.0,1.75,1.5,1.5,1.2041970491409302,10800
1979-05-10,0.0,1.6875,1.4375,1.4375,1.154021978378296,11600
1979-05-11,0.0,1.75,1.5,1.5,1.2041970491409302,9600
1979-05-14,0.0,1.6875,1.4375,1.4375,1.154021978378296,20200
1979-05-15,0.0,1.6875,1.4375,1.4375,1.154021978378296,9400
1979-05-16,0.0,1.6875,1.4375,1.4375,1.154021978378296,19600
1979-05-17,0.0,1.6875,1.4375,1.4375,1.154021978378296,52000
1979-05-18,0.0,1.6875,1.4375,1.4375,1.154021978378296,7400
1979-05-21,0.0,1.6875,1.4375,1.4375,1.154021978378296,8800
1979-05-22,0.0,1.6875,1.4375,1.4375,1.154021978378296,4200
1979-05-23,0.0,1.6875,1.4375,1.4375,1.154021978378296,3800
1979-05-24,0.0,1.6875,1.4375,1.4375,1.154021978378296,10400
1979-05-25,0.0,1.75,1.5,1.5,1.2041970491409302,28800
1979-05-29,0.0,1.75,1.5,1.5,1.2041970491409302,6200
1979-05-30,0.0,1.75,1.5,1.5,1.2041970491409302,10600
1979-05-31,0.0,1.75,1.5,1.5,1.2041970491409302,5000
1979-06-01,0.0,1.75,1.5,1.5,1.2041970491409302,9600
1979-06-04,0.0,1.75,1.5,1.5,1.2041970491409302,21200
1979-06-05,0.0,1.6875,1.4375,1.4375,1.154021978378296,23000
1979-06-06,0.0,1.625,1.375,1.375,1.1038469076156616,3200
1979-06-07,0.0,1.625,1.375,1.375,1.1038469076156616,13600
1979-06-08,0.0,1.625,1.375,1.375,1.1038469076156616,4800
1979-06-11,0.0,1.6875,1.4375,1.4375,1.154021978378296,6400
1979-06-12,0.0,1.6875,1.4375,1.4375,1.154021978378296,21000
1979-06-13,0.0,1.5625,1.3125,1.3125,1.053671956062317,15400
1979-06-14,0.0,1.5625,1.3125,1.3125,1.053671956062317,8600
1979-06-15,0.0,1.5625,1.3125,1.3125,1.053671956062317,4000
1979-06-18,0.0,1.5625,1.3125,1.3125,1.053671956062317,9600
1979-06-19,0.0,1.5625,1.3125,1.3125,1.053671956062317,4800
1979-06-20,0.0,1.5625,1.3125,1.3125,1.053671956062317,13600
1979-06-21,0.0,1.5,1.25,1.25,1.0034973621368408,5000
1979-06-22,0.0,1.5625,1.3125,1.3125,1.053671956062317,17800
1979-06-25,0.0,1.5625,1.3125,1.3125,1.053671956062317,22400
1979-06-26,0.0,1.5625,1.3125,1.3125,1.053671956062317,2200
1979-06-27,0.0,1.5625,1.3125,1.3125,1.053671956062317,200
1979-06-28,0.0,1.5625,1.3125,1.3125,1.053671956062317,3600
1979-06-29,0.0,1.5625,1.3125,1.3125,1.053671956062317,2800
1979-07-02,0.0,1.5625,1.3125,1.3125,1.053671956062317,9000
1979-07-03,0.0,1.5,1.25,1.25,1.0034973621368408,7600
1979-07-05,0.0,1.5,1.25,1.25,1.0034973621368408,3000
1979-07-06,0.0,1.5625,1.3125,1.3125,1.053671956062317,3000
1979-07-09,0.0,1.5625,1.3125,1.3125,1.053671956062317,4000
1979-07-10,0.0,1.5625,1.3125,1.3125,1.053671956062317,5800
1979-07-11,0.0,1.5625,1.3125,1.3125,1.053671956062317,6200
1979-07-12,0.0,1.5625,1.3125,1.3125,1.053671956062317,2200
1979-07-13,0.0,1.5,1.25,1.25,1.0034973621368408,3800
1979-07-16,0.0,1.5,1.25,1.25,1.0034973621368408,10200
1979-07-17,0.0,1.4375,1.1875,1.1875,0.9533225297927856,32000
1979-07-18,0.0,1.375,1.125,1.125,0.9031477570533752,20400
1979-07-19,0.0,1.375,1.125,1.125,0.9031477570533752,6000
1979-07-20,0.0,1.375,1.125,1.125,0.9031477570533752,2200
1979-07-23,1.125,1.125,1.125,1.125,0.9031477570533752,0
1979-07-24,0.0,1.375,1.125,1.125,0.9031477570533752,5800
1979-07-25,0.0,1.375,1.125,1.125,0.9031477570533752,6400
1979-07-26,0.0,1.3125,1.0625,1.0625,0.852972686290741,6600
1979-07-27,0.0,1.3125,1.0625,1.0625,0.852972686290741,2400
1979-07-30,0.0,1.3125,1.0625,1.0625,0.852972686290741,2600
1979-07-31,0.0,1.375,1.125,1.125,0.9031477570533752,5800
1979-08-01,0.0,1.375,1.125,1.125,0.9031477570533752,6600
1979-08-02,0.0,1.4375,1.1875,1.1875,0.9533225297927856,2600
1979-08-03,0.0,1.4375,1.1875,1.1875,0.9533225297927856,49000
1979-08-06,0.0,1.4375,1.1875,1.1875,0.9533225297927856,7600
1979-08-07,0.0,1.4375,1.1875,1.1875,0.9533225297927856,5200
1979-08-08,0.0,1.4375,1.1875,1.1875,0.9533225297927856,35000
1979-08-09,0.0,1.4375,1.1875,1.1875,0.9533225297927856,6000
1979-08-10,0.0,1.4375,1.1875,1.1875,0.9533225297927856,1800
1979-08-13,0.0,1.4375,1.1875,1.1875,0.9533225297927856,6400
1979-08-14,0.0,1.4375,1.1875,1.1875,0.9533225297927856,5600
1979-08-15,0.0,1.4375,1.1875,1.1875,0.9533225297927856,1800
1979-08-16,0.0,1.4375,1.1875,1.1875,0.9533225297927856,1000
1979-08-17,0.0,1.4375,1.1875,1.1875,0.9533225297927856,3400
1979-08-20,0.0,1.375,1.125,1.125,0.9031477570533752,1400
1979-08-21,0.0,1.4375,1.1875,1.1875,0.9533225297927856,9000
1979-08-22,0.0,1.5,1.25,1.25,1.0034973621368408,5200
1979-08-23,0.0,1.5625,1.3125,1.3125,1.053671956062317,12200
1979-08-24,0.0,1.5625,1.3125,1.3125,1.053671956062317,34000
1979-08-27,0.0,1.625,1.375,1.375,1.1038469076156616,15200
1979-08-28,0.0,1.625,1.375,1.375,1.1038469076156616,6800
1979-08-29,0.0,1.625,1.375,1.375,1.1038469076156616,20400
1979-08-30,0.0,1.6875,1.4375,1.4375,1.154021978378296,22000
1979-08-31,0.0,1.6875,1.4375,1.4375,1.154021978378296,18400
1979-09-04,0.0,1.625,1.375,1.375,1.1038469076156616,3400
1979-09-05,0.0,1.625,1.375,1.375,1.1038469076156616,12000
1979-09-06,0.0,1.6875,1.4375,1.4375,1.154021978378296,32800
1979-09-07,0.0,1.75,1.5,1.5,1.2041970491409302,141200
1979-09-10,0.0,1.6875,1.4375,1.4375,1.154021978378296,80800
1979-09-11,0.0,1.6875,1.4375,1.4375,1.154021978378296,40200
1979-09-12,0.0,1.875,1.625,1.625,1.3045464754104614,85600
1979-09-13,0.0,1.75,1.5,1.5,1.2041970491409302,30400
1979-09-14,0.0,1.75,1.5,1.5,1.2041970491409302,23800
